               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.043686,            0.047344,            0.030742,             0.70415,             0.14639,             0.18414,             0.10209,            0.055757,             0.04243,            0.057331,            0.008317,            0.008317,            0.008317
                  53,            0.041374,            0.042514,            0.030917,             0.72438,             0.13797,             0.16414,            0.088711,            0.056418,            0.041375,            0.057374,            0.008284,            0.008284,            0.008284
                  54,            0.042914,             0.04915,            0.026719,             0.76999,             0.10572,             0.14386,            0.083697,            0.055749,            0.040872,            0.057086,            0.008251,            0.008251,            0.008251
                  55,            0.043806,            0.045755,             0.03129,             0.76619,             0.12604,             0.16054,            0.090761,            0.056405,            0.040949,            0.055837,            0.008218,            0.008218,            0.008218
                  56,            0.041551,            0.045065,            0.032114,             0.75821,             0.11374,             0.14181,            0.061989,            0.057865,            0.042129,            0.057457,            0.008185,            0.008185,            0.008185
                  57,            0.042384,            0.043642,            0.031689,             0.78379,             0.11973,             0.16811,            0.084642,            0.056601,            0.041965,            0.055974,            0.008152,            0.008152,            0.008152
                  58,            0.044122,            0.049048,            0.030435,               0.754,             0.14359,             0.17164,            0.086055,            0.055968,            0.040975,            0.054753,            0.008119,            0.008119,            0.008119
                  59,            0.042628,            0.042325,            0.031888,             0.74329,             0.14376,             0.18413,            0.097131,            0.056472,             0.04022,            0.055036,            0.008086,            0.008086,            0.008086
                  60,            0.042039,            0.045718,            0.027137,             0.70433,             0.16107,              0.1774,            0.084402,             0.05654,            0.041147,            0.054547,            0.008053,            0.008053,            0.008053
                  61,            0.042985,            0.043788,              0.0267,              0.6798,             0.14547,             0.17454,            0.084697,            0.057435,             0.04106,             0.05448,             0.00802,             0.00802,             0.00802
                  62,             0.04365,            0.048525,            0.027763,             0.71361,             0.15048,             0.16121,            0.073504,             0.05674,            0.041543,             0.05352,            0.007987,            0.007987,            0.007987
                  63,            0.041427,            0.049585,            0.026762,             0.70106,             0.16441,             0.16803,            0.072478,            0.056764,            0.042689,            0.053625,            0.007954,            0.007954,            0.007954
                  64,            0.041593,            0.043245,            0.029019,             0.76695,             0.15203,             0.15622,            0.081826,            0.056498,            0.041712,             0.05363,            0.007921,            0.007921,            0.007921
